cours,hight,indice,low,open_,time,var
34.075 ,34.670 ,STMICROELECTRONICS,33.930 ,34.195 ,2022-10-26 15:10:56.842183,-3.14%
132.460 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 15:10:56.847182,+0.88%
273.500 ,275.600 ,TELEPERFORMANCE,271.100 ,274.000 ,2022-10-26 15:10:56.849182,-0.47%
52.630 ,53.370 ,TOTALENERGIES,52.410 ,53.000 ,2022-10-26 15:10:56.852181,-1.16%
22.520 ,23.070 ,VEOLIA,22.490 ,22.730 ,2022-10-26 15:10:56.854183,-0.92%
8.216 ,8.296 ,VIVENDI,8.164 ,8.296 ,2022-10-26 15:10:56.856181,-1.25%
44.080 ,44.740 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 15:10:56.858182,+0.71%
9.736 ,10.030 ,ATOS,9.348 ,9.504 ,2022-10-26 15:10:57.146970,+7.06%
12.770 ,13.040 ,OVHCLOUD,12.100 ,12.100 ,2022-10-26 15:10:57.148971,+6.51%
66.150 ,66.700 ,ERAMET,62.750 ,62.900 ,2022-10-26 15:10:57.150970,+4.92%
116.100 ,116.900 ,GTT (GAZTRANSPORT ET TEC.),111.800 ,114.100 ,2022-10-26 15:10:57.151973,+4.13%
12.380 ,12.560 ,MCPHY ENERGY,11.915 ,12.150 ,2022-10-26 15:10:57.153971,+4.08%
14.735 ,14.895 ,SCOR,14.070 ,14.100 ,2022-10-26 15:10:57.155971,+4.06%
2.134 ,2.172 ,ELIOR GROUP,2.066 ,2.066 ,2022-10-26 15:10:57.157972,+3.89%
19.995 ,20.030 ,ALSTOM,19.230 ,19.240 ,2022-10-26 15:10:57.158971,+3.87%
90.320 ,90.580 ,SODEXO,87.940 ,88.520 ,2022-10-26 15:10:57.160971,+3.65%
0.874 ,0.886 ,CGG,0.835 ,0.837 ,2022-10-26 15:10:57.162970,+3.33%
125.600 ,125.750 ,THALES,122.150 ,122.250 ,2022-10-26 15:10:57.164972,+3.29%
101.000 ,101.300 ,IPSEN,96.950 ,97.650 ,2022-10-26 15:10:57.165970,+3.11%
103.000 ,103.600 ,TRIGANO,99.350 ,100.200 ,2022-10-26 15:10:57.167970,+2.79%
40.560 ,40.680 ,IMERYS,39.840 ,40.060 ,2022-10-26 15:10:57.169971,+2.74%
78.260 ,78.320 ,LEGRAND,76.100 ,76.260 ,2022-10-26 15:10:57.171976,+2.38%
24.200 ,24.200 ,SPIE,23.640 ,23.640 ,2022-10-26 15:10:57.172973,+2.37%
152.100 ,152.800 ,DASSAULT AVIATION,148.100 ,149.300 ,2022-10-26 15:10:57.175970,+2.29%
15.745 ,15.815 ,GETLINK (ex: EUROTUNNEL),15.320 ,15.400 ,2022-10-26 15:10:57.176971,+1.98%
17.005 ,17.295 ,REXEL,16.715 ,16.715 ,2022-10-26 15:10:57.178971,+1.86%
91.830 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 15:10:57.179970,+1.82%
2.220 ,2.275 ,SOLUTIONS 30,2.164 ,2.173 ,2022-10-26 15:10:57.181970,+1.69%
112.160 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 15:10:57.183974,+1.65%
6.502 ,6.520 ,SES,6.348 ,6.368 ,2022-10-26 15:10:57.185972,+1.56%
13.850 ,13.950 ,PLASTIC OMNIUM,13.390 ,13.650 ,2022-10-26 15:10:57.188972,+1.54%
14.075 ,14.245 ,FAURECIA,13.550 ,13.865 ,2022-10-26 15:10:57.190971,+1.40%
